Customer,Name,Hour,Queries,Total Runtime,Average Runtime
OHTALBT,OHTALBT_Writer,14,153,3061.6365,20.82745918367347
OHTALBT,OHTALBT_Viewer,17,584,2541.3919,5.316719456066946
OHTALBT,OHTALBT_Viewer,15,745,2260.901,3.730859735973597
LAURL,LAURL_Viewer,15,6,20.0062,3.3343666666666665
OHGCBHS,OHGCBHS_Writer,17,72,770.6551,10.703543055555555
OHGCBHS,OHGCBHS_Viewer,21,91,629.5388,6.918008791208791
OHGCBHS,OHGCBHS_Viewer,17,274,568.0704,2.629955555555555
OHGCBHS,OHGCBHS_Viewer,14,124,377.3952,3.3104842105263157
OHGCBHS,OHGCBHS_Viewer,19,180,352.2566,2.229472151898734
OHMATHP,OHMATHP_Viewer,15,27,304.1599,13.224343478260868
OHMATHP,OHMATHP_Viewer,14,14,111.0837,7.93455
OHMATHP,OHMATHP_Viewer,17,4,51.3474,12.83685
OHMATHP,OHMATHP_Viewer,16,4,43.6093,10.902325
OHMATHP,OHMATHP_Viewer,18,4,41.4344,10.3586
AKSPBHS,AKSPBHS_Viewer,16,6,19.146,3.1910000000000003
ALCAHBA,ALCAHBA_Viewer,16,6,25.2475,4.207916666666667
LHSET,LHSET_Viewer,16,6,23.3678,3.894633333333333
MAVOLAM,MAVOLAM_Viewer,13,77,329.7207,4.921204477611941
MAVOLAM,MAVOLAM_Viewer,12,42,302.0196,7.190942857142858
MAVOLAM,MAVOLAM_Viewer,19,26,78.1513,3.005819230769231
MAVOLAM,MAVOLAM_Viewer,16,64,59.1801,3.114742105263158
MAVOLAM,MAVOLAM_Viewer,17,24,54.5033,2.2709708333333336
ORCOLCR,ORCOLCR_Viewer,21,708,2499.7439,4.302485197934596
ORCOLCR,ORCOLCR_Viewer,23,554,1530.0163,3.1875339583333333
ORCOLCR,ORCOLCR_Viewer,20,297,1099.0796,4.011239416058395
ORCOLCR,ORCOLCR_Viewer,18,346,1039.204,3.441072847682119
ORCOLCR,ORCOLCR_Viewer,22,352,942.2612,3.0893809836065573
PACVCAI,PACVCAI_Writer,19,18,44.6231,2.78894375
PACVCAI,PACVCAI_Writer,18,6,13.7002,2.2833666666666668
PACVCAI,PACVCAI_Viewer,14,5,10.8374,2.1674800000000003
PACVCAI,PACVCAI_Writer,23,6,10.2229,2.555725
GACARING,GACARING_Viewer,14,143,462.1411,3.231755944055944
GACARING,GACARING_Viewer,15,228,445.0228,2.6648071856287427
GACARING,GACARING_Viewer,16,163,238.734,2.1507567567567567
GACARING,GACARING_Viewer,19,84,188.9551,2.519401333333333
GACARING,GACARING_Writer,16,73,176.6217,3.463170588235294
CTCHFST,CTCHFST_Viewer,19,45,120.2523,3.757884375
CTCHFST,CTCHFST_Viewer,18,17,51.4465,3.026264705882353
CTCHFST,CTCHFST_Viewer,15,22,48.1649,2.1893136363636363
CTCHFST,CTCHFST_Viewer,13,37,44.0304,2.001381818181818
CTCHFST,CTCHFST_Viewer,14,29,37.5829,1.9780473684210527
MNCHOSC,MNCHOSC_Viewer,21,7,24.8327,3.5475285714285714
MNCHOSC,MNCHOSC_Viewer,15,1,3.1738,3.1738
MNCHOSC,MNCHOSC_Viewer,16,2,2.3222,1.1611
ORWBC,ORWBC_Viewer,23,3,10.361,3.453666666666667
SWANS,SWANS_Viewer,15,225,1958.2884,9.791442
SWANS,SWANS_Viewer,20,206,1106.775,7.962410071942447
SWANS,SWANS_Viewer,17,65,855.5356,15.27742142857143
SWANS,SWANS_Viewer,18,235,730.0572,3.443666037735849
SWANS,SWANS_Viewer,16,93,576.9447,7.035910975609756
AKJAM,AKJAM_Viewer,17,119,284.383,4.062614285714285
AKJAM,AKJAM_Viewer,18,31,80.8138,4.489655555555555
AKJAM,AKJAM_Viewer,20,23,58.7238,3.91492
AKJAM,AKJAM_Viewer,19,6,34.7275,5.787916666666667
AKJAM,AKJAM_Viewer,16,6,24.3144,4.0524
ALECMHC,ALECMHC_Viewer,16,6,22.5609,3.76015
WAAMBHS,WAAMBHS_Viewer,18,110,645.3203,6.9389279569892475
WAAMBHS,WAAMBHS_Viewer,17,140,599.3027,6.178378350515463
WAAMBHS,WAAMBHS_Viewer,13,379,553.7261,1.508790463215259
WAAMBHS,WAAMBHS_Viewer,20,54,413.5662,7.658633333333333
WAAMBHS,WAAMBHS_Viewer,19,74,404.8648,5.867605797101449
INYTHOC,INYTHOC_Viewer,17,1,1.8493,1.8493
MAPINEI,MAPINEI_Viewer,17,1,2.2019,2.2019
MOARCOA,MOARCOA_Writer,11,2487,3895.2833,5.242642395693136
MOARCOA,MOARCOA_Writer,14,641,1802.358,3.4594203454894434
MOARCOA,MOARCOA_Writer,21,179,1233.316,8.333216216216217
MOARCOA,MOARCOA_Writer,13,229,685.5023,5.712519166666667
MOARCOA,MOARCOA_Writer,15,204,575.4024,3.028433684210526
EARTH,EARTH_Writer,13,13,75.535,5.810384615384615
EARTH,EARTH_Writer,21,6,20.2324,3.3720666666666665
NECHN,NECHN_Viewer,20,118,395.9899,3.7008401869158876
NECHN,NECHN_Viewer,17,71,285.1476,4.01616338028169
NECHN,NECHN_Viewer,15,51,275.285,5.397745098039216
NECHN,NECHN_Viewer,21,48,240.4522,5.009420833333333
NECHN,NECHN_Viewer,18,90,209.5954,3.175687878787879
PAJFKBH,PAJFKBH_Viewer,17,6,23.5845,3.9307499999999997
CATVFSI,CATVFSI_Writer,14,85,192.4732,2.5663093333333333
CATVFSI,CATVFSI_Writer,12,46,140.59,3.056304347826087
CATVFSI,CATVFSI_Writer,16,46,117.5738,3.9191266666666666
CATVFSI,CATVFSI_Writer,13,41,108.2299,2.6397536585365855
CATVFSI,CATVFSI_Writer,18,45,97.2529,2.7014694444444443
