Customer,Total Queries,Avg MB Scanned,Avg Execution Secs,Max Execution Secs
MOFGCBH,50873,35.2989897692096,0.2578453207005681,20.92
MOPREFH,27962,100.35146982275947,0.9856231313926042,43.37
MLSTN,22833,111.57032238584505,1.0265919502474488,1412.439
MOBHR,18555,99.45269220894637,0.6838179466451092,38.815
AKCOOK,17553,20.996955805674244,0.3702540306500314,6.312
GAHORIZONS,16767,44.47803096057732,0.8980492634341266,18.084
GAHLND,11475,276.6699234653595,0.9814120261437909,43.996
CTSCADD,10368,60.49013805844908,0.4923745177469136,14.406
ILAUNTM,10223,120.94874481864423,0.6285197104568131,11.189
MNHWEHS,9487,91.50477776673343,0.8024177295246127,16.546
LIFECARE,8660,120.92873654838337,0.8810680138568129,65.904
MOSBH,8490,82.55913576772674,0.7398133097762073,16.68
OHUMC,7409,48.40672129248212,0.5564543123228507,13.561
DEMO2,6262,3457.1828320317786,12.707511338230598,624.731
OHMODPW,6191,62.59674207656275,0.7941381036989178,27.926
MIHLYCS,5979,10.753632931928415,0.18062284662987121,10.745
CACMMHC,5886,42.358911548250084,0.5417653754672104,6.362
CAEXODUS,5843,27.921319523703573,0.4863720691425637,6.734
CBIC,5742,29.715436274642983,0.39108934169279,8.004
OHFAMCC,5221,92.73359452614442,0.9210563110515227,75.99
ALSPECT,5132,101.32053780670304,0.9072716289945442,35.58
NJTCFGE,5038,80.30297910103215,0.6483157999206034,10.948
OAKLAWN,5001,141.53554126774645,1.9348392321535692,94.482
OHBLHBS,4779,144.39412401297344,1.7073320778405525,62.346
KYLIFSK,4405,94.42307363586833,0.6701073779795687,11.428
WACRMHS,4132,53.00750591408519,1.1000070183930302,18.129
TNHEALTHCONNECT,3646,117.22288385765222,1.6048170597915523,23.393
MAUMSMH,3594,77.44521993322205,0.8946135225375627,47.24
LABCMHOLD,3563,45.41970961156329,0.4242152680325568,8.288
LAAAHSD,3308,59.41819910973398,0.7137726723095525,10.984
BHNINC,3245,413.9158728289676,5.282310015408321,219.001
MDJWSCS,3089,63.53188569148592,0.5662405309161541,9.139
CAMCC,2962,35.38302196151249,0.7074226873733963,17.478
OHTALBT,2830,85.60111764522968,1.2537060070671378,48.656
AKTANANA,2819,22.680178953884354,0.43772862717275635,7.792
NJTBRIDGE,2749,35.1205599883594,0.46532193524918153,7.627
OHCBHTH,2738,79.8628173484295,0.7846022644265888,11.99
NYSTDOM,2675,59.87782231439252,0.8191715887850468,26.467
ALNAMHC,2665,64.3104149227017,0.817266416510319,27.6
VTARISS,2613,79.54922930271718,0.8762920015308076,13.772
OHRFSCF,2561,80.19873743615774,0.9801245607184694,17.361
ORCOLCR,2418,97.82457900289496,0.7885504549214226,13.557
LACAHSD,2397,50.18225851105549,0.7236700041718815,13
AKAKELA,2368,42.15322498986486,0.6139565033783784,8.609
NJCBH,2326,85.7349408766122,0.8687141014617369,115.008
PASTRAW,2296,68.9435147565331,0.632251306620209,8.542
KYCHONK,2174,80.02928360395583,0.8754236430542779,9.744
GAIT,2118,318.3006000944287,2.891947119924457,82.504
CASCHARP,2052,35.49593828362573,0.679175925925926,11.424
OHDAYBK,2014,48.42504831082423,0.6604304865938431,10.351
AROBHAW,2008,27.63955095318725,0.5389656374501992,10.121
AKXPIOH,1938,48.959953947884415,0.6009422084623323,7.353
WAEXSYC,1856,106.816872328125,0.6521276939655172,6.581
AKASSETS,1839,34.83266503643284,0.6305508428493747,8.416
CMBRLD,1836,55.73097069008715,0.6693660130718954,12.098
SCBHS,1833,294.976506198036,1.6068957992362247,24.538
INDCTR,1799,25.469915859366314,0.5092790439132852,10.155
MOARCOA,1772,24.927509231376973,0.6128865688487585,8.593
KSCKMHC,1686,44.855032280545664,0.6042170818505338,7.579
KYSELFR,1650,213.73901754181819,1.981351515151515,25.242
PTHWY,1585,416.0856136984227,1.6124182965299685,17.819
ORBRCHG,1565,60.33622621469648,0.6257354632587859,9.997
NYBPCRI,1542,44.368778463683526,0.8538806744487678,8.539
HVMHC,1529,153.39190991824722,1.0977370830608242,9.361
MERIDIAN,1514,360.9765297252312,3.678577939233818,123.296
MALUKCC,1505,84.91770611760798,0.6865235880398671,9.954
MEOCMHS,1477,205.75163683073797,0.9360324983073798,10.58
TVC,1466,16.346984893587997,0.38436971350613913,4.754
AKFBNAT,1462,18.912228474008206,0.6635095759233927,27.332
OCSDS,1436,131.9248046678273,2.397559888579387,70.937
PIN,1434,191.86062607461648,3.429742677824268,257.551
GACARING,1410,16.264154669503547,0.36481276595744677,8.564
PAPYRMD,1410,215.57422916524823,2.566982978723404,45.971
CCMHR,1408,104.69777366832386,0.8585838068181818,10.558
CTCGCCL,1397,17.371481901216892,0.37697995705082316,3.518
IACIOWA,1393,9.717243257717158,0.20389519023689878,10.834
DEMO13,1361,52.9494480764144,0.5838207200587804,8.739
LAVOASL,1361,26.79663228361499,0.3853651726671565,12.813
TRLDL,1335,16.359359786516855,0.5425662921348314,6.182
MSCANPY,1269,52.57551835460993,0.8235665878644602,31.626
HAMDN,1248,16.23129303605769,0.6670625,9.752
SCCTC,1243,46.0283644456959,0.672266291230893,18.363
CTCJR,1231,32.43403987164906,0.5024459788789601,4.505
ORSLNMH,1165,40.336479099570816,0.588298712446352,10.893
