Customer,Total Queries,Avg MB Scanned,Avg Execution Secs,Max Execution Secs
MOFGCBH,62531,25.115445785338473,0.3031310549967216,20.291
MOSBH,35291,29.041638576124225,0.23339814683630386,11.91
MOPREFH,31633,83.71002223987608,1.015022855878355,47.701
AKCOOK,18261,33.20693756042933,0.4948359345052298,8.618
GAHORIZONS,13962,33.40845945673972,0.8909862483884831,74.746
GAHLND,12855,281.397089063944,0.9428611435239206,14.82
CTSCADD,12519,56.2994078880901,0.47385166546848795,20
OHBLHBS,9505,150.07259883608626,1.4353248816412416,51
MNHWEHS,9440,58.37602151758474,0.7324681144067796,12.238
MLSTN,8528,114.89248157528142,0.8706069418386492,28.851
MOBHR,8524,79.63365077991553,0.6405315579540122,12.682
LIFECARE,7802,91.8781591497052,0.8420613945142271,38.22
OHFAMCC,7451,65.52330625674406,0.762686753455912,14.452
KYLIFSK,7288,95.37756869168496,0.6960381448957189,13.362
OHUMC,6848,37.00679327044393,0.6114209988317758,26.496
BHNINC,6041,438.5051749000165,4.982330408872704,199.793
HVMHC,5037,80.53047807504467,1.0947550129045067,42.508
MIHLYCS,4953,19.736800161114473,0.23343529174237834,8.378
OAKLAWN,4855,188.71768164881564,2.212705252317199,85.231
CASCHARP,4282,36.25663768752919,0.7714794488556749,18.903
ALNAMHC,4252,53.10395986124177,1.015101834430856,30.584
NJTCFGE,4189,23.91560495392695,0.5146514681308189,9.025
WAEXSYC,4073,51.567169879941076,0.6738021114657501,10.028
ILAUNTM,3837,109.15043105499088,0.6299770654156894,10.538
AKTANANA,3817,21.749918154309665,0.497126539166885,9.055
LABCMHOLD,3653,55.667000866684916,0.4292940049274569,4.945
DEMO2,3462,16.884495359041015,0.5534965337954939,9.436
CBIC,3422,39.14166716072472,0.5022881355932203,6.47
CAMCC,3396,44.22711726295642,0.5596810954063604,6.945
OHTALBT,3374,71.58147003112033,1.1882857142857142,68.585
CACMMHC,3256,37.893828764434886,0.5965525184275184,10.491
OHRFSCF,3169,56.63705340485958,0.9091710318712528,13.24
VTARISS,3155,67.02826308557844,1.03613882725832,45.144
ORBRCHG,3017,69.32564411136892,0.6801465031488233,13.452
NYIBDCC,3005,108.00677067853577,0.9874133111480866,100.404
AKASSETS,2726,32.03756149743214,0.6584893617021276,25.527
KYCHONK,2679,29.504351246733858,0.7068559163867114,10.231
ORSLNMH,2616,40.28840019915902,0.6370951834862386,6.984
OHCBHTH,2560,31.911746786328127,0.9359675781250001,627.641
PASTRAW,2488,53.85749881511254,0.703806270096463,13.405
WACRMHS,2480,37.827054917338714,0.7199883064516128,7.687
AKCCI,2430,21.397176962962963,0.6318407407407408,8.316
MOARCOA,2410,55.10274066182573,0.7311302904564315,14.586
NJRCHDH,2343,45.346608529662824,0.7335373452838242,7.231
AKAKELA,2260,37.91123947566372,0.6300681415929203,19.321
PAPYRMD,2213,192.89377339584277,2.2123416177135113,35.227
ORCOLCR,2199,59.6645629686221,0.7669263301500682,7.888
GAIT,2170,375.488007281106,2.2677013824884793,29.608
CMBRLD,2149,47.556248948813405,0.6452940902745463,7.641
MDJWSCS,2113,35.15763219640322,0.5536071935636535,8.101
INDCTR,2098,21.971159767397523,0.4792135367016206,4.95
CCMHR,1911,59.869221144427,0.7287027734170591,5.739
SCBHS,1894,270.16300903009505,1.3905179514255543,18.69
MAUMSMH,1879,72.87054836508781,1.8333118680149016,77.586
KSCKMHC,1878,31.073351115015974,0.8835133120340788,101.703
TNHEALTHCONNECT,1845,121.88320743848239,1.879290514905149,140.28
AROBHAW,1836,55.34980282625273,0.5810669934640522,14.249
CAMHALA,1809,22.094160011055834,0.5915069098949697,8.616
OHMODPW,1809,20.293518563847428,0.5667562189054726,7.748
SCCTC,1808,15.574620414269912,0.5755790929203539,10.21
MSCANPY,1798,37.151788243604,0.6539377085650723,27.783
AKFBNAT,1688,17.424156065758297,0.639867298578199,31.453
TRLDL,1567,10.625203899808552,0.4906573069559668,6.031
TXEPCGC,1559,67.60213249454779,0.8089384220654265,8.184
OHDAYBK,1544,39.523485747409325,0.6295958549222798,9.718
PAKEYSN,1527,192.329201335298,1.1518709888670595,15.91
NJCBH,1510,135.82823958145696,0.9852225165562913,35.696
DEMO5,1502,36.47954562583222,0.8595339547270306,10.142
ILOMNIY,1425,23.675657924210526,0.47875929824561403,7.564
MOREDIS,1401,82.82200381870092,2.4184896502498217,164.334
CAEXODUS,1289,12.986995118696665,0.3270946470131885,6.42
TVC,1280,8.3005425203125,0.31158828125000004,2.857
OROCP,1230,36.45553996910569,0.6010430894308944,6.957
ALMHBCS,1223,12.204298129190514,0.37267702371218314,3.938
MARIVCC,1216,61.498304841282895,1.1300057565789474,37.781
IALUTSV,1189,31.797903231286792,0.43616232127838517,5.927
OHACC,1147,2.9257865579773323,0.2756634699215344,2.657
NYSTDOM,1145,35.43260068122271,0.6413737991266376,14.465
KYSELFR,1125,125.01567701244444,1.6466177777777777,20.108
HAMDN,1103,16.809535089755215,0.831038077969175,14.493
OHCLS,1074,28.54454188454376,0.6946871508379888,7.848
OHCCBH,1057,19.939592166508987,0.5436234626300852,8.453
OHFOBHS,1056,23.044476234848485,0.3704772727272727,24.54
ORWILLF,1045,99.04222647464114,0.7952822966507177,13.077
OCSDS,1040,100.63229400769231,3.1752019230769233,38.628
MAYOUIN,1030,51.93771258543689,0.8214776699029126,18.711
COJFSVC,1018,36.771083883104126,0.5801286836935168,6.774
ALSPECT,988,51.476273911943316,0.5917722672064778,13.094
LAAAHSD,941,58.78366502337938,0.794258235919235,10.07
